COUNTY,DATE,PRECIPITATION,MEAN TEMP
Alachua,06/14,1e-05,78.5
Alachua,06/15,0.0,76.5
Alachua,06/16,0.0,74.5
Alachua,06/17,0.0,73.0
Alachua,06/18,0.0,77.5
Alachua,06/19,0.58,79.0
Alachua,06/20,0.0,80.0
Alachua,06/21,0.0,79.5
Alachua,06/22,0.0,78.5
Alachua,06/23,0.05,81.5
Alachua,06/24,0.0,84.0
Alachua,06/25,0.0,82.0
Alachua,06/26,0.0,83.0
Alachua,06/27,1e-05,83.5
Alachua,06/28,0.0,82.0
Alachua,06/29,1e-05,83.5
Alachua,06/30,0.02,83.0
Alachua,07/01,1e-05,78.5
Alachua,07/02,0.33,80.0
Alachua,07/03,0.0,80.5
Alachua,07/04,0.05,80.5
Alachua,07/05,0.03,79.5
Alachua,07/06,0.2,78.0
Alachua,07/07,0.55,79.5
Alachua,07/08,0.35,81.5
Alachua,07/09,0.0,83.0
Alachua,07/10,1.65,85.5
Alachua,07/11,0.03,84.5
Alachua,07/12,0.0,82.5
Alachua,07/13,0.0,81.5
Alachua,07/14,0.0,85.0
Alachua,07/15,1.08,82.5
Alachua,07/16,0.0,81.5
Alachua,07/17,0.16,82.0
Alachua,07/18,0.01,81.5
Alachua,07/19,0.0,82.0
Alachua,07/20,1e-05,81.5
Alachua,07/21,0.81,83.0
Alachua,07/22,0.03,81.5
Alachua,07/23,1e-05,81.0
Alachua,07/24,1e-05,82.0
Alachua,07/25,1e-05,82.0
Alachua,07/26,0.02,82.0
Alachua,07/27,1e-05,80.5
Alachua,07/28,1e-05,81.0
Alachua,07/29,0.95,80.0
Alachua,07/30,0.01,80.5
Alachua,07/31,0.0,82.5
Alachua,08/01,0.0,83.5
Alachua,08/02,0.4,80.0
Alachua,08/03,0.0,84.0
Alachua,08/04,0.0,84.5
Alachua,08/05,0.0,82.5
Alachua,08/06,0.13,82.0
Alachua,08/07,0.46,81.0
Alachua,08/08,0.0,80.0
Alachua,08/09,0.39,83.5
Alachua,08/10,1e-05,82.5
Alachua,08/11,0.18,82.0
Alachua,08/12,1e-05,81.5
Alachua,08/13,1e-05,82.5
Alachua,08/14,0.04,81.5
Alachua,08/15,0.12,80.0
Alachua,08/16,0.04,82.5
Alachua,08/17,0.0,81.0
Alachua,08/18,0.67,80.5
Alachua,08/19,0.26,78.0
Alachua,08/20,0.6,79.5
Alachua,08/21,0.08,78.0
Alachua,08/22,0.42,78.5
Alachua,08/23,0.09,82.0
Alachua,08/24,0.02,85.0
Alachua,08/25,0.11,85.0
Alachua,08/26,0.0,84.5
Alachua,08/27,0.22,84.0
Alachua,08/28,0.76,81.0
Alachua,08/29,0.26,81.5
Alachua,08/30,0.47,81.5
Alachua,08/31,1.28,79.0
Alachua,09/01,1.03,80.0
Alachua,09/02,0.09,83.5
Alachua,09/03,1e-05,83.5
Alachua,09/04,1e-05,85.0
Alachua,09/05,0.0,85.5
Alachua,09/06,1e-05,83.5
Alachua,09/07,0.3,80.5
Alachua,09/08,0.11,80.0
Alachua,09/09,1.94,82.0
Alachua,09/10,0.74,82.0
Alachua,09/11,0.34,82.0
Alachua,09/12,0.42,81.0
Alachua,09/13,0.09,81.0
Alachua,09/14,1.16,81.0
Alachua,09/15,1e-05,79.0
Alachua,09/16,0.16,81.0
Alachua,09/17,0.89,80.0
Alachua,09/18,0.0,80.0
Alachua,09/19,0.08,74.0
Alachua,09/20,1e-05,70.0
Alachua,09/21,1e-05,75.0
Alachua,09/22,1e-05,73.5
Alachua,09/23,0.0,74.0
Alachua,09/24,0.0,77.5
Alachua,09/25,0.0,80.5
Alachua,09/26,0.0,80.5
Alachua,09/27,0.07,77.5
Alachua,09/28,1e-05,78.5
Alachua,09/29,0.18,73.0
Alachua,09/30,0.0,67.0
Alachua,10/01,0.0,67.0
Alachua,10/02,0.0,68.5
Alachua,10/03,0.0,69.0
Alachua,10/04,0.23,66.0
Alachua,10/05,0.07,70.0
Alachua,10/06,1e-05,81.0
Alachua,10/07,0.0,81.0
Alachua,10/08,1e-05,80.0
Alachua,10/09,0.41,80.0
Alachua,10/10,0.03,79.0
Alachua,10/11,0.12,80.0
Alachua,10/12,1e-05,76.5
Alachua,10/13,0.0,77.0
Alachua,10/14,0.0,77.5
Alachua,10/15,0.0,76.0
Alachua,10/16,0.0,77.0
Alachua,10/17,0.0,70.5
Alachua,10/18,0.0,74.5
Alachua,10/19,0.27,77.0
Alachua,10/20,0.05,78.5
Alachua,10/21,0.4,77.5
Alachua,10/22,0.02,76.5
Alachua,10/23,0.06,76.5
Alachua,10/24,0.01,75.5
Alachua,10/25,0.0,76.5
Alachua,10/26,0.0,76.0
Alachua,10/27,1e-05,80.0
Alachua,10/28,0.0,78.5
Alachua,10/29,0.07,77.5
Alachua,10/30,0.0,62.5
Alachua,10/31,0.0,68.0
Alachua,11/01,0.26,72.0
Alachua,11/02,0.0,53.5
Alachua,11/03,0.0,56.5
Alachua,11/04,1e-05,62.0
Alachua,11/05,0.0,70.5
Alachua,11/06,1e-05,74.5
Alachua,11/07,1e-05,76.0
Alachua,11/08,0.03,75.0
Alachua,11/09,0.62,76.0
Alachua,11/10,0.15,78.0
Alachua,11/11,0.19,77.0
Alachua,11/12,0.48,73.0
Alachua,11/13,0.0,65.5
Alachua,11/14,0.0,68.0
Alachua,11/15,0.05,72.0
Alachua,11/16,0.0,65.5
Alachua,11/17,0.0,60.0
Alachua,11/18,0.0,58.0
Alachua,11/19,0.0,59.0
Alachua,11/20,1e-05,65.5
Alachua,11/21,0.08,70.0
Alachua,11/22,0.04,68.5
Alachua,11/23,0.0,63.5
Alachua,11/24,0.0,62.5
Alachua,11/25,0.0,67.5
Alachua,11/26,0.0,69.5
Alachua,11/27,0.0,69.5
Alachua,11/28,1e-05,70.0
Alachua,11/29,0.0,68.0
Alachua,11/30,0.51,58.0
Alachua,12/01,0.0,40.5
Alachua,12/02,0.0,42.5
Alachua,12/03,0.0,51.0
Alachua,12/04,0.0,64.0
Alachua,12/05,0.09,53.0
Alachua,12/06,0.19,51.5
Alachua,12/07,0.1,53.0
Alachua,12/08,0.0,44.0
Alachua,12/09,0.0,46.0
Alachua,12/10,0.0,53.5
Alachua,12/11,0.0,54.0
Alachua,12/12,1e-05,56.0
Alachua,12/13,0.0,65.5
Alachua,12/14,0.03,66.0
Alachua,12/15,0.0,61.5
Alachua,12/16,0.83,59.5
Alachua,12/17,1e-05,52.0
Alachua,12/18,0.0,42.0
Alachua,12/19,1e-05,52.5
Alachua,12/20,0.07,58.0
Alachua,12/21,0.0,54.5
Alachua,12/22,0.0,55.0
Alachua,12/23,0.0,54.0
Alachua,12/24,0.58,60.0
Alachua,12/25,0.0,39.0
Alachua,12/26,0.0,37.0
Alachua,12/27,0.0,44.0
Alachua,12/28,0.0,54.5
Alachua,12/29,0.0,55.5
Alachua,12/30,0.0,61.5
Alachua,12/31,0.0,69.0
Baker,01/01,,
Baker,01/02,,
Baker,01/03,,
Baker,01/04,,
Baker,01/05,,
Baker,01/06,,
Baker,01/07,0.0,52.0
Baker,01/08,,
Baker,01/09,0.0,52.0
Baker,01/10,,
Baker,01/11,0.0,58.0
Baker,01/12,0.0,72.5
Baker,01/13,0.0,72.5
Baker,01/14,0.0,69.5
Baker,01/15,,
Baker,01/16,0.0,70.5
Baker,01/17,,
Baker,01/18,0.0,63.0
Baker,01/19,0.0,63.0
Baker,01/20,0.04,54.0
Baker,01/21,0.0,41.5
Baker,01/22,0.0,39.0
Baker,01/23,0.0,43.5
Baker,01/24,,
Baker,01/25,,
Baker,01/26,0.0,49.0
Baker,01/27,0.0,49.5
Baker,01/28,0.0,51.0
Baker,01/29,,
Baker,01/30,,
Baker,01/31,,
Baker,02/01,,
Baker,02/02,0.0,46.0
Baker,02/03,0.0,
Baker,02/04,0.0,56.0
Baker,02/05,,
Baker,02/06,0.0,65.5
Baker,02/07,1.1,66.5
Baker,02/08,0.0,57.0
Baker,02/09,0.0,51.0
Baker,02/10,0.0,52.5
Baker,02/11,0.0,58.0
Baker,02/12,,
Baker,02/13,,
Baker,02/14,,
Baker,02/15,0.05,47.5
Baker,02/16,0.0,53.5
Baker,02/17,,
Baker,02/18,0.06,61.5
Baker,02/19,,
Baker,02/20,0.0,68.5
Baker,02/21,,
Baker,02/22,0.0,49.5
Baker,02/23,0.0,48.0
Baker,02/24,0.0,55.0
Baker,02/25,0.08,65.0
Baker,02/26,,
Baker,02/27,,
Baker,02/28,,
Baker,02/29,,
Baker,03/01,0.0,48.5
Baker,03/02,0.0,52.5
Baker,03/03,0.0,63.5
Baker,03/04,,
Baker,03/05,,
Baker,03/06,,
Baker,03/07,0.0,54.5
Baker,03/08,0.0,52.0
Baker,03/09,0.0,56.5
Baker,03/10,,
Baker,03/11,0.0,63.0
Baker,03/12,0.0,66.0
Baker,03/13,0.0,66.5
Baker,03/14,,
Baker,03/15,,
Baker,03/16,0.0,69.5
Baker,03/17,,
Baker,03/18,0.0,72.0
Baker,03/19,,
Baker,03/20,,
Baker,03/21,,
Baker,03/22,,
Baker,03/23,,
Baker,03/24,0.0,71.0
Baker,03/25,0.0,74.0
Baker,03/26,,
Baker,03/27,,
Baker,03/28,,
Baker,03/29,,
Baker,03/30,0.0,73.5
Baker,03/31,0.0,75.5
Baker,04/01,0.24,67.0
Baker,04/02,0.0,55.5
Baker,04/03,,
Baker,04/04,,
Baker,04/05,,
Baker,04/06,0.38,64.0
Baker,04/07,,
Baker,04/08,0.0,74.0
Baker,04/09,0.5,76.5
Baker,04/10,,
Baker,04/11,,
Baker,04/12,,
Baker,04/13,0.03,66.0
Baker,04/14,0.6,75.0
Baker,04/15,0.7,73.5
Baker,04/16,1.6,66.5
Baker,04/17,0.0,58.5
Baker,04/18,,
Baker,04/19,,
Baker,04/20,0.85,76.5
Baker,04/21,0.0,68.0
Baker,04/22,0.0,67.0
Baker,04/23,,
Baker,04/24,1.43,72.5
Baker,04/25,,
Baker,04/26,,
Baker,04/27,0.0,69.0
Baker,04/28,0.0,61.0
Baker,04/29,0.0,65.0
Baker,04/30,0.95,72.5
Baker,05/01,0.0,
Baker,05/02,,
Baker,05/03,,
Baker,05/04,0.0,68.0
Baker,05/05,0.0,72.5
Baker,05/06,,
Baker,05/07,0.0,
Baker,05/08,0.0,
Baker,05/09,,
Baker,05/10,,
Baker,05/11,0.0,
Baker,05/12,0.0,65.0
Baker,05/13,0.0,65.5
Baker,05/14,0.0,66.5
Baker,05/15,0.0,68.5
Baker,05/16,,
Baker,05/17,,
Baker,05/18,0.0,74.0
Baker,05/19,0.0,76.0
Baker,05/20,,
Baker,05/21,,
Baker,05/22,0.0,76.5
Baker,05/23,0.19,80.0
Baker,05/24,1.37,80.5
Baker,05/25,0.0,78.5
Baker,05/26,0.2,76.5
Baker,05/27,0.25,75.0
Baker,05/28,0.37,79.5
Baker,05/29,,
Baker,05/30,,
Baker,05/31,0.0,78.0
Baker,06/01,0.0,80.5
Baker,06/02,0.02,74.5
Baker,06/03,0.0,73.0
Baker,06/04,0.62,74.5
Baker,06/05,0.0,77.0
Baker,06/06,0.02,76.5
Baker,06/07,2.9,75.0
Baker,06/08,2.91,76.0
Baker,06/09,0.13,82.0
Baker,06/10,0.05,79.5
Baker,06/11,0.72,80.5
Baker,06/12,0.62,82.0
Baker,06/13,1.69,78.5
Baker,06/14,0.0,77.0
Baker,06/15,0.0,76.5
Baker,06/16,0.0,73.5
Baker,06/17,0.0,71.0
Baker,06/18,0.0,74.0
Baker,06/19,0.0,72.5
Baker,06/20,0.05,77.0
Baker,06/21,0.0,79.0
Baker,06/22,0.0,79.0
Baker,06/23,0.0,81.0
Baker,06/24,0.05,80.5
Baker,06/25,0.0,81.5
Baker,06/26,0.0,81.0
Baker,06/27,0.0,
Baker,06/28,1.22,
Baker,06/29,0.0,81.0
Baker,06/30,0.0,
Baker,07/01,0.6,81.5
Baker,07/02,0.65,
Baker,07/03,0.0,75.5
Baker,07/04,3.35,77.5
Baker,07/05,0.07,75.0
Baker,07/06,0.1,75.0
Baker,07/07,0.26,
Baker,07/08,0.69,75.0
Baker,07/09,0.25,
Baker,07/10,0.14,
Baker,07/11,0.0,79.5
Baker,07/12,0.0,
Baker,07/13,0.0,
Baker,07/14,,
Baker,07/15,0.0,
Baker,07/16,0.05,
Baker,07/17,0.0,
Baker,07/18,,
Baker,07/19,0.75,77.0
Baker,07/20,0.0,79.5
Baker,07/21,0.0,
Baker,07/22,0.1,
Baker,07/23,0.2,76.5
Baker,07/24,,
Baker,07/25,0.0,
Baker,07/26,,
Baker,07/27,0.0,
Baker,07/28,0.0,
Baker,07/29,,78.0
Baker,07/30,0.15,
Baker,07/31,1.8,76.0
Baker,08/01,,
Baker,08/02,,
Baker,08/03,0.05,78.0
Baker,08/04,0.0,81.5
Baker,08/05,0.0,80.0
Baker,08/06,0.0,
Baker,08/07,0.8,
Baker,08/08,0.33,
Baker,08/09,0.0,80.0
Baker,08/10,1.3,
Baker,08/11,0.25,
Baker,08/12,0.43,
Baker,08/13,0.53,76.0
Baker,08/14,,
Baker,08/15,,
Baker,08/16,0.22,
Baker,08/17,0.21,
Baker,08/18,0.0,
Baker,08/19,,
Baker,08/20,0.0,
Baker,08/21,1.15,
Baker,08/22,,
Baker,08/23,,
Baker,08/24,0.15,76.5
Baker,08/25,0.12,
Baker,08/26,,
Baker,08/27,0.0,84.0
Baker,08/28,0.01,
Baker,08/29,,
Baker,08/30,,
Baker,08/31,0.36,79.5
Baker,09/01,1.2,72.5
Baker,09/02,0.0,73.5
Baker,09/03,0.0,78.0
Baker,09/04,,
Baker,09/05,0.0,76.0
Baker,09/06,0.0,79.0
Baker,09/07,,
Baker,09/08,,
Baker,09/09,,
Baker,09/10,,
Baker,09/11,,
Baker,09/12,0.08,72.5
Baker,09/13,0.41,75.5
Baker,09/14,,
Baker,09/15,,
Baker,09/16,,
Baker,09/17,,
Baker,09/18,0.71,73.0
Baker,09/19,,
Baker,09/20,,
Baker,09/21,,
Baker,09/22,,
Baker,09/23,0.0,69.0
Baker,09/24,,
Baker,09/25,,
Baker,09/26,,
Baker,09/27,,
Baker,09/28,,
Baker,09/29,0.2,73.0
Baker,09/30,0.75,69.0
Baker,10/01,,
Baker,10/02,0.0,65.5
Baker,10/03,0.0,67.0
Baker,10/04,0.0,66.5
Baker,10/05,0.35,60.0
Baker,10/06,0.09,67.0
Baker,10/07,0.0,74.5
Baker,10/08,0.0,71.0
Baker,10/09,0.0,76.5
Baker,10/10,0.05,74.5
Baker,10/11,0.36,75.5
Baker,10/12,,
Baker,10/13,,
Baker,10/14,0.0,73.0
Baker,10/15,0.0,
Baker,10/16,0.0,
Baker,10/17,,
Baker,10/18,,
Baker,10/19,,
Baker,10/20,0.0,72.0
Baker,10/21,0.16,72.0
Baker,10/22,0.29,70.0
Baker,10/23,1.03,72.5
Baker,10/24,,
Baker,10/25,,
Baker,10/26,,
Baker,10/27,0.0,
Baker,10/28,,
Baker,10/29,0.0,78.0
Baker,10/30,,
Baker,10/31,,
Baker,11/01,,
Baker,11/02,0.41,66.0
Baker,11/03,0.0,50.5
Baker,11/04,0.0,53.0
Baker,11/05,0.03,60.5
Baker,11/06,0.05,69.0
Baker,11/07,,
Baker,11/08,,
Baker,11/09,0.63,55.5
Baker,11/10,0.87,77.0
Baker,11/11,,
Baker,11/12,0.24,
Baker,11/13,0.05,73.5
Baker,11/14,,
Baker,11/15,,
Baker,11/16,0.42,70.0
Baker,11/17,0.0,56.0
Baker,11/18,,
Baker,11/19,0.0,54.5
Baker,11/20,0.0,55.5
Baker,11/21,,
Baker,11/22,,
Baker,11/23,,
Baker,11/24,0.0,59.5
Baker,11/25,0.0,60.5
Baker,11/26,,
Baker,11/27,0.0,67.0
Baker,11/28,,
Baker,11/29,0.08,
Baker,11/30,0.1,62.5
Baker,12/01,,
Baker,12/02,,
Baker,12/03,0.0,
Baker,12/04,0.0,
Baker,12/05,,
Baker,12/06,,
Baker,12/07,0.13,51.0
Baker,12/08,0.0,48.0
Baker,12/09,0.0,
Baker,12/10,0.0,
Baker,12/11,0.0,
Baker,12/12,,
Baker,12/13,,
Baker,12/14,0.05,
Baker,12/15,0.0,64.0
Baker,12/16,0.0,
Baker,12/17,,
Baker,12/18,,
Baker,12/19,,
Baker,12/20,,
Baker,12/21,0.21,
Baker,12/22,0.0,
Baker,12/23,0.0,
Baker,12/24,0.0,
Baker,12/25,,
Baker,12/26,,
Baker,12/27,0.0,
Baker,12/28,0.0,
Baker,12/29,0.0,
Baker,12/30,0.0,50.5
Baker,12/31,,
Bay,01/01,0.0,54.5
Bay,01/02,0.0,59.5
Bay,01/03,0.06,68.0
Bay,01/04,1.4,69.5
Bay,01/05,0.0,52.5
Bay,01/06,0.0,56.5
Bay,01/07,0.0,55.0
Bay,01/08,0.0,53.5
Bay,01/09,0.0,55.0
Bay,01/10,0.0,62.0
Bay,01/11,0.0,63.5
Bay,01/12,0.8,67.5
Bay,01/13,0.0,68.5
Bay,01/14,0.0,71.0
Bay,01/15,0.0,71.5
Bay,01/16,0.0,72.5
Bay,01/17,0.0,62.5
Bay,01/18,0.0,58.5
Bay,01/19,0.62,62.5
Bay,01/20,0.0,46.5
Bay,01/21,0.0,39.0
Bay,01/22,0.0,38.5
Bay,01/23,0.0,44.5
Bay,01/24,0.4,49.5
Bay,01/25,0.04,54.5
Bay,01/26,0.0,51.5
Bay,01/27,0.0,53.5
Bay,01/28,,
Bay,01/29,,
Bay,01/30,,
Bay,01/31,,
Bay,02/01,0.5,49.5
Bay,02/02,0.0,50.0
Bay,02/03,0.0,53.0
Bay,02/04,0.0,57.5
Bay,02/05,0.0,65.5
Bay,02/06,0.0,72.0
Bay,02/07,1.52,55.5
Bay,02/08,0.0,48.0
Bay,02/09,0.0,55.0
Bay,02/10,0.0,61.5
Bay,02/11,0.0,65.5
Bay,02/12,0.0,71.5
Bay,02/13,0.0,72.5
Bay,02/14,0.5,60.0
Bay,02/15,0.0,52.5
Bay,02/16,0.0,58.5
Bay,02/17,0.3,56.5
Bay,02/18,0.0,63.5
Bay,02/19,0.0,71.0
Bay,02/20,0.0,70.5
Bay,02/21,0.8,56.5
Bay,02/22,0.0,45.0
Bay,02/23,0.0,50.5
Bay,02/24,0.0,59.0
Bay,02/25,1.8,66.0
Bay,02/26,0.05,66.5
Bay,02/27,0.0,49.0
Bay,02/28,0.0,47.5
Bay,02/29,0.0,51.5
Bay,03/01,0.0,55.5
Bay,03/02,0.0,58.5
Bay,03/03,0.0,66.0
Bay,03/04,1.75,71.0
Bay,03/05,0.2,68.5
Bay,03/06,0.04,62.5
Bay,03/07,0.0,55.0
Bay,03/08,0.0,54.5
Bay,03/09,0.0,61.5
Bay,03/10,0.0,63.5
Bay,03/11,0.0,68.5
Bay,03/12,0.0,68.5
Bay,03/13,0.0,70.0
Bay,03/14,0.0,70.0
Bay,03/15,0.0,71.5
Bay,03/16,0.0,73.5
Bay,03/17,0.0,74.5
Bay,03/18,0.0,73.0
Bay,03/19,0.0,72.5
Bay,03/20,0.0,73.5
Bay,03/21,0.0,75.0
Bay,03/22,0.0,72.5
Bay,03/23,0.0,72.0
Bay,03/24,0.0,73.5
Bay,03/25,0.0,76.5
Bay,03/26,0.0,73.5
Bay,03/27,0.0,76.5
Bay,03/28,0.0,76.5
Bay,03/29,0.0,77.0
Bay,03/30,0.0,75.5
Bay,03/31,,
Bay,04/01,0.45,63.5
Bay,04/02,0.0,61.5
Bay,04/03,0.0,66.0
Bay,04/04,0.0,66.5
Bay,04/05,0.0,74.5
Bay,04/06,0.0,70.5
Bay,04/07,0.0,71.0
Bay,04/08,0.0,74.0
Bay,04/09,0.0,77.5
Bay,04/10,0.36,74.0
Bay,04/11,0.0,64.0
Bay,04/12,0.0,66.5
Bay,04/13,0.0,76.0
Bay,04/14,0.0,72.5
Bay,04/15,0.23,67.5
Bay,04/16,0.0,62.5
Bay,04/17,0.0,65.5
Bay,04/18,0.0,71.0
Bay,04/19,1.05,71.5
Bay,04/20,0.0,68.5
Bay,04/21,0.0,69.0
Bay,04/22,0.0,72.0
Bay,04/23,0.0,75.0
Bay,04/24,1.1,72.0
Bay,04/25,0.0,71.5
Bay,04/26,0.0,71.0
Bay,04/27,0.0,67.0
Bay,04/28,0.0,68.0
Bay,04/29,0.0,71.5
Bay,04/30,0.5,69.0
Bay,05/01,0.0,65.5
Bay,05/02,0.0,67.5
Bay,05/03,0.0,70.5
Bay,05/04,0.0,70.5
Bay,05/05,0.0,70.5
Bay,05/06,0.0,76.5
Bay,05/07,0.0,69.0
Bay,05/08,0.0,65.5
Bay,05/09,0.0,67.0
Bay,05/10,0.0,69.0
Bay,05/11,0.0,71.5
Bay,05/12,0.0,72.5
Bay,05/13,0.0,74.0
Bay,05/14,0.0,76.0
Bay,05/15,0.0,77.5
Bay,05/16,0.0,75.5
Bay,05/17,0.0,80.0
Bay,05/18,0.0,77.5
Bay,05/19,0.0,76.0
Bay,05/20,,
Bay,05/21,0.83,73.0
Bay,05/22,0.0,77.5
Bay,05/23,0.0,79.0
Bay,05/24,0.0,81.5
Bay,05/25,0.65,83.0
Bay,05/26,0.0,80.5
Bay,05/27,0.0,77.0
Bay,05/28,0.0,80.5
Bay,05/29,0.0,81.0
Bay,05/30,0.0,79.0
Bay,05/31,0.0,81.5
Bay,06/01,0.0,82.5
Bay,06/02,0.7,83.0
Bay,06/03,1.25,79.0
Bay,06/04,0.43,78.0
Bay,06/05,0.0,79.0
Bay,06/06,0.0,81.5
Bay,06/07,1.55,78.5
Bay,06/08,0.35,80.5
Bay,06/09,0.0,83.0
Bay,06/10,0.0,83.0
Bay,06/11,0.0,82.0
Bay,06/12,0.0,84.0
Bay,06/13,0.0,82.5
Bay,06/14,0.0,82.0
Bay,06/15,0.0,82.0
Bay,06/16,0.0,81.5
Bay,06/17,0.0,79.0
Bay,06/18,0.0,79.0
Bay,06/19,0.0,80.5
Bay,06/20,0.0,82.0
Bay,06/21,0.0,83.0
Bay,06/22,0.0,83.5
Bay,06/23,0.3,80.0
Bay,06/24,0.16,81.0
Bay,06/25,0.0,83.5
